,age,u_40,sex,content,Avoid a poorly-ventilated closed space,Avoid large gatherings,Avoid conversations or shouting in close proximity,Avoid places where items 1-3 above overlap,Do not go to dinner with friends,Do not go to mass gatherings,Participate in virtual events using online tools,Undertake frequent handwashing,Undertake cough etiquette (use handkerchiefs or sleeves instead of hands),Disinfect things around,Avoid going out when you have a cold,Avoid going to clinic even when having a cold symptom,Prepare consultation and transportation methods for when you feel ill,Always wear a surgical-style mask when going out,Stockpile surgical-style masks,"Stockpile food, toilet paper, tissue paper, etc.",Avoid contact with younger people,Avoid contact with older people,Get sufficient rest and sleep,Eat a nutritious diet,Do exercise such as jogging or exercise using DVD
0,60-64,1,Female,"Avoid a poorly-ventilated closed space
['1.Very true']

Avoid large gatherings
['1.Very true']

Avoid conversations or shouting in close proximity
['1.Very true']

Avoid places where items 1-3 above overlap
['1.Very true']

Do not go to dinner with friends
['1.Very true']

Do not go to mass gatherings
['1.Very true']

Participate in virtual events using online tools
['2.True']

Undertake frequent handwashing
['1.Very true']

Undertake cough etiquette (use handkerchiefs or sleeves instead of hands)
['1.Very true']

Disinfect things around
['1.Very true']

Avoid going out when you have a cold
['1.Very true']

Avoid going to clinic even when having a cold symptom
['2.True']

Prepare consultation and transportation methods for when you feel ill
['2.True']

Always wear a surgical-style mask when going out
['1.Very true']

Stockpile surgical-style masks
['1.Very true']

Stockpile food, toilet paper, tissue paper, etc.
['1.Very true']

Avoid contact with younger people
['2.True']

Avoid contact with older people
['2.True']

Get sufficient rest and sleep
['2.True']

Eat a nutritious diet
['2.True']

Do exercise such as jogging or exercise using DVD
['2.True']",1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,2.True,2.True,1.Very true,1.Very true,1.Very true,2.True,2.True,2.True,2.True,2.True
1,40-49,1,Male,"Certainly, here are my responses to the questionnaire:

Avoid a poorly-ventilated closed space
['1.Very true']

Avoid large gatherings
['1.Very true']

Avoid conversations or shouting in close proximity
['2.True']

Avoid places where items 1-3 above overlap
['1.Very true']

Do not go to dinner with friends
['2.True']

Do not go to mass gatherings
['1.Very true']

Participate in virtual events using online tools
['2.True']

Undertake frequent handwashing
['1.Very true']

Undertake cough etiquette (use handkerchiefs or sleeves instead of hands)
['1.Very true']

Disinfect things around
['2.True']

Avoid going out when you have a cold
['1.Very true']

Avoid going to clinic even when having a cold symptom
['3.Neither']

Prepare consultation and transportation methods for when you feel ill
['2.True']

Always wear a surgical-style mask when going out
['1.Very true']

Stockpile surgical-style masks
['2.True']

Stockpile food, toilet paper, tissue paper, etc.
['2.True']

Avoid contact with younger people
['3.Neither']

Avoid contact with older people
['2.True']

Get sufficient rest and sleep
['2.True']

Eat a nutritious diet
['2.True']

Do exercise such as jogging or exercise using DVD
['2.True']

Thank you for the opportunity to participate in this questionnaire. I hope my answers provide useful insights for your study on Covid-19 prevention attitudes and behaviors.",1.Very true,1.Very true,2.True,1.Very true,2.True,1.Very true,2.True,1.Very true,1.Very true,2.True,1.Very true,3.Neither,2.True,1.Very true,2.True,2.True,3.Neither,2.True,2.True,2.True,2.True
2,20-29,0,Male,"Thank you for participating in this questionnaire. Please respond to each statement by selecting the option that best reflects your current situation and personal views.

1. Avoid a poorly-ventilated closed space
['1.Very true']

2. Avoid large gatherings
['1.Very true']

3. Avoid conversations or shouting in close proximity
['1.Very true']

4. Avoid places where items 1-3 above overlap
['1.Very true']

5. Do not go to dinner with friends
['1.Very true']

6. Do not go to mass gatherings
['1.Very true']

7. Participate in virtual events using online tools
['2.True']

8. Undertake frequent handwashing
['1.Very true']

9. Undertake cough etiquette (use handkerchiefs or sleeves instead of hands)
['1.Very true']

10. Disinfect things around
['2.True']

11. Avoid going out when you have a cold
['1.Very true']

12. Avoid going to clinic even when having a cold symptom
['3.Neither']

13. Prepare consultation and transportation methods for when you feel ill
['2.True']

14. Always wear a surgical-style mask when going out
['1.Very true']

15. Stockpile surgical-style masks
['2.True']

16. Stockpile food, toilet paper, tissue paper, etc.
['1.Very true']

17. Avoid contact with younger people
['4.Not true']

18. Avoid contact with older people
['2.True']

19. Get sufficient rest and sleep
['2.True']

20. Eat a nutritious diet
['2.True']

21. Do exercise such as jogging or exercise using DVD
['3.Neither']

Thank you for your responses. Your input is valuable in understanding and improving public health strategies during the Covid-19 pandemic. Stay safe and healthy.",1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,2.True,1.Very true,3.Neither,2.True,1.Very true,2.True,1.Very true,4.Not true,2.True,2.True,2.True,3.Neither
3,20-29,0,Male,"Sure, I'll provide my responses based on my current attitudes and behaviors regarding Covid-19 prevention.

Avoid a poorly-ventilated closed space
['1.Very true']

Avoid large gatherings
['1.Very true']

Avoid conversations or shouting in close proximity
['1.Very true']

Avoid places where items 1-3 above overlap
['1.Very true']

Do not go to dinner with friends
['1.Very true']

Do not go to mass gatherings
['1.Very true']

Participate in virtual events using online tools
['2.True']

Undertake frequent handwashing
['1.Very true']

Undertake cough etiquette (use handkerchiefs or sleeves instead of hands)
['2.True']

Disinfect things around
['2.True']

Avoid going out when you have a cold
['1.Very true']

Avoid going to clinic even when having a cold symptom
['3.Neither']

Prepare consultation and transportation methods for when you feel ill
['2.True']

Always wear a surgical-style mask when going out
['1.Very true']

Stockpile surgical-style masks
['1.Very true']

Stockpile food, toilet paper, tissue paper, etc.
['2.True']

Avoid contact with younger people
['3.Neither']

Avoid contact with older people
['2.True']

Get sufficient rest and sleep
['2.True']

Eat a nutritious diet
['2.True']

Do exercise such as jogging or exercise using DVD
['2.True']

Thank you for the opportunity to share my views. I hope this helps in shaping effective public health strategies. Stay safe!",1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,2.True,2.True,1.Very true,3.Neither,2.True,1.Very true,1.Very true,2.True,3.Neither,2.True,2.True,2.True,2.True
4,50-59,1,Male,"Thank you for inviting me to participate in this questionnaire. Here are my responses based on my current situation and personal views:

Avoid a poorly-ventilated closed space
['1.Very true']

Avoid large gatherings
['1.Very true']

Avoid conversations or shouting in close proximity
['1.Very true']

Avoid places where items 1-3 above overlap
['1.Very true']

Do not go to dinner with friends
['2.True']

Do not go to mass gatherings
['1.Very true']

Participate in virtual events using online tools
['2.True']

Undertake frequent handwashing
['1.Very true']

Undertake cough etiquette (use handkerchiefs or sleeves instead of hands)
['1.Very true']

Disinfect things around
['2.True']

Avoid going out when you have a cold
['1.Very true']

Avoid going to clinic even when having a cold symptom
['3.Neither']

Prepare consultation and transportation methods for when you feel ill
['2.True']

Always wear a surgical-style mask when going out
['1.Very true']

Stockpile surgical-style masks
['2.True']

Stockpile food, toilet paper, tissue paper, etc.
['2.True']

Avoid contact with younger people
['3.Neither']

Avoid contact with older people
['2.True']

Get sufficient rest and sleep
['2.True']

Eat a nutritious diet
['2.True']

Do exercise such as jogging or exercise using DVD
['2.True']

I hope this helps in gaining insights into attitudes and behaviors regarding Covid-19 prevention. Thank you!",1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,2.True,1.Very true,1.Very true,2.True,1.Very true,3.Neither,2.True,1.Very true,2.True,2.True,3.Neither,2.True,2.True,2.True,2.True
5,50-59,1,Male,"Certainly, here are my responses to the questionnaire based on my current situation and personal views:

Avoid a poorly-ventilated closed space
['1.Very true']

Avoid large gatherings
['1.Very true']

Avoid conversations or shouting in close proximity
['1.Very true']

Avoid places where items 1-3 above overlap
['1.Very true']

Do not go to dinner with friends
['2.True']

Do not go to mass gatherings
['1.Very true']

Participate in virtual events using online tools
['2.True']

Undertake frequent handwashing
['1.Very true']

Undertake cough etiquette (use handkerchiefs or sleeves instead of hands)
['2.True']

Disinfect things around
['2.True']

Avoid going out when you have a cold
['1.Very true']

Avoid going to clinic even when having a cold symptom
['3.Neither']

Prepare consultation and transportation methods for when you feel ill
['3.Neither']

Always wear a surgical-style mask when going out
['1.Very true']

Stockpile surgical-style masks
['2.True']

Stockpile food, toilet paper, tissue paper, etc.
['2.True']

Avoid contact with younger people
['3.Neither']

Avoid contact with older people
['2.True']

Get sufficient rest and sleep
['1.Very true']

Eat a nutritious diet
['2.True']

Do exercise such as jogging or exercise using DVD
['2.True']

Thank you for the opportunity to participate in this questionnaire.",1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,2.True,1.Very true,2.True,2.True,1.Very true,3.Neither,3.Neither,1.Very true,2.True,2.True,3.Neither,2.True,1.Very true,2.True,2.True
6,40-49,1,Female,"Thank you for participating in this questionnaire. Please provide your responses based on your own experiences and beliefs.

Avoid a poorly-ventilated closed space:
['1.Very true']

Avoid large gatherings:
['1.Very true']

Avoid conversations or shouting in close proximity:
['1.Very true']

Avoid places where items 1-3 above overlap:
['1.Very true']

Do not go to dinner with friends:
['2.True']

Do not go to mass gatherings:
['1.Very true']

Participate in virtual events using online tools:
['2.True']

Undertake frequent handwashing:
['1.Very true']

Undertake cough etiquette (use handkerchiefs or sleeves instead of hands):
['1.Very true']

Disinfect things around:
['2.True']

Avoid going out when you have a cold:
['1.Very true']

Avoid going to clinic even when having a cold symptom:
['4.Not true']

Prepare consultation and transportation methods for when you feel ill:
['2.True']

Always wear a surgical-style mask when going out:
['1.Very true']

Stockpile surgical-style masks:
['3.Neither']

Stockpile food, toilet paper, tissue paper, etc.:
['2.True']

Avoid contact with younger people:
['3.Neither']

Avoid contact with older people:
['2.True']

Get sufficient rest and sleep:
['2.True']

Eat a nutritious diet:
['2.True']

Do exercise such as jogging or exercise using DVD:
['3.Neither']

Thank you for your responses. They will be invaluable in shaping effective public health strategies.",1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,2.True,1.Very true,1.Very true,2.True,1.Very true,4.Not true,2.True,1.Very true,3.Neither,2.True,3.Neither,2.True,2.True,2.True,3.Neither
7,50-59,1,Male,"Sure, thank you for inviting me to participate. Here are my responses:

Avoid a poorly-ventilated closed space
['1.Very true']

Avoid large gatherings
['1.Very true']

Avoid conversations or shouting in close proximity
['2.True']

Avoid places where items 1-3 above overlap
['1.Very true']

Do not go to dinner with friends
['2.True']

Do not go to mass gatherings
['1.Very true']

Participate in virtual events using online tools
['2.True']

Undertake frequent handwashing
['1.Very true']

Undertake cough etiquette (use handkerchiefs or sleeves instead of hands)
['2.True']

Disinfect things around
['2.True']

Avoid going out when you have a cold
['1.Very true']

Avoid going to clinic even when having a cold symptom
['3.Neither']

Prepare consultation and transportation methods for when you feel ill
['2.True']

Always wear a surgical-style mask when going out
['1.Very true']

Stockpile surgical-style masks
['2.True']

Stockpile food, toilet paper, tissue paper, etc.
['2.True']

Avoid contact with younger people
['3.Neither']

Avoid contact with older people
['2.True']

Get sufficient rest and sleep
['2.True']

Eat a nutritious diet
['2.True']

Do exercise such as jogging or exercise using DVD
['3.Neither']

Thank you for the opportunity to contribute to this important survey.",1.Very true,1.Very true,2.True,1.Very true,2.True,1.Very true,2.True,1.Very true,2.True,2.True,1.Very true,3.Neither,2.True,1.Very true,2.True,2.True,3.Neither,2.True,2.True,2.True,3.Neither
8,30-39,0,Male,"Thank you for participating in this survey. Please respond to each statement based on your current situation and beliefs.

Avoid a poorly-ventilated closed space
['1.Very true']

Avoid large gatherings
['1.Very true']

Avoid conversations or shouting in close proximity
['2.True']

Avoid places where items 1-3 above overlap
['1.Very true']

Do not go to dinner with friends
['2.True']

Do not go to mass gatherings
['1.Very true']

Participate in virtual events using online tools
['2.True']

Undertake frequent handwashing
['1.Very true']

Undertake cough etiquette (use handkerchiefs or sleeves instead of hands)
['1.Very true']

Disinfect things around
['2.True']

Avoid going out when you have a cold
['1.Very true']

Avoid going to clinic even when having a cold symptom
['3.Neither']

Prepare consultation and transportation methods for when you feel ill
['4.Not true']

Always wear a surgical-style mask when going out
['1.Very true']

Stockpile surgical-style masks
['2.True']

Stockpile food, toilet paper, tissue paper, etc.
['2.True']

Avoid contact with younger people
['3.Neither']

Avoid contact with older people
['2.True']

Get sufficient rest and sleep
['1.Very true']

Eat a nutritious diet
['2.True']

Do exercise such as jogging or exercise using DVD
['2.True']

Your responses will help improve public health strategies. Thank you for your time and participation.",1.Very true,1.Very true,2.True,1.Very true,2.True,1.Very true,2.True,1.Very true,1.Very true,2.True,1.Very true,3.Neither,4.Not true,1.Very true,2.True,2.True,3.Neither,2.True,1.Very true,2.True,2.True
9,50-59,1,Female,"Thank you for participating in this questionnaire. Below are my responses based on my current situation and personal views:

Avoid a poorly-ventilated closed space
['1.Very true']

Avoid large gatherings
['1.Very true']

Avoid conversations or shouting in close proximity
['1.Very true']

Avoid places where items 1-3 above overlap
['1.Very true']

Do not go to dinner with friends
['2.True']

Do not go to mass gatherings
['1.Very true']

Participate in virtual events using online tools
['2.True']

Undertake frequent handwashing
['1.Very true']

Undertake cough etiquette (use handkerchiefs or sleeves instead of hands)
['1.Very true']

Disinfect things around
['2.True']

Avoid going out when you have a cold
['1.Very true']

Avoid going to clinic even when having a cold symptom
['3.Neither']

Prepare consultation and transportation methods for when you feel ill
['2.True']

Always wear a surgical-style mask when going out
['1.Very true']

Stockpile surgical-style masks
['2.True']

Stockpile food, toilet paper, tissue paper, etc.
['2.True']

Avoid contact with younger people
['3.Neither']

Avoid contact with older people
['2.True']

Get sufficient rest and sleep
['2.True']

Eat a nutritious diet
['2.True']

Do exercise such as jogging or exercise using DVD
['3.Neither']

Thank you for providing this opportunity to share my views and actions regarding Covid-19 prevention.",1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,2.True,1.Very true,1.Very true,2.True,1.Very true,3.Neither,2.True,1.Very true,2.True,2.True,3.Neither,2.True,2.True,2.True,3.Neither
