QuestionID,SubQuestionID,QuestionText,ChoiceID,ChoiceText
"Q1",,"From what do you get information about novel coronavirus infection?",,
"Q1","Q1S1",,1,"TV news programs"
"Q1","Q1S2",,2,"TV talk and variety shows"
"Q1","Q1S3",,3,"Newspapers (national and local newspapers)"
"Q1","Q1S4",,4,"Tabloid paper"
"Q1","Q1S5",,5,"Internet news sites"
"Q1","Q1S6",,6,"SNS app news"
"Q1","Q1S7",,7,"Information sent by the Prime Minister"
"Q1","Q1S8",,8,"Information sent by the Ministry of Health, Labor and Welfare"
"Q1","Q1S9",,9,"Information provided by government Expert Meetings"
"Q1","Q1S10",,10,"Information sent by local (prefecture) government"
"Q1",,"Choices",1,"Frequently"
"Q1",,"Choices",2,"Sometimes"
"Q1",,"Choices",3,"Neither"
"Q1",,"Choices",4,"Seldom"
"Q1",,"Choices",5,"None"
"Q2",,"From what do you trust information about novel coronavirus infection?",,
"Q2","Q2S1",,1,"TV news programs"
"Q2","Q2S2",,2,"TV talk and variety shows"
"Q2","Q2S3",,3,"Newspapers (national and local newspapers)"
"Q2","Q2S4",,4,"Tabloid paper"
"Q2","Q2S5",,5,"Internet news sites"
"Q2","Q2S6",,6,"SNS app news"
"Q2","Q2S7",,7,"Information sent by the Prime Minister"
"Q2","Q2S8",,8,"Information sent by the Ministry of Health, Labor and Welfare"
"Q2","Q2S9",,9,"Information provided by government Expert Meetings"
"Q2","Q2S10",,10,"Information sent by local (prefecture) government"
"Q2",,"Choices",1,"Frequently"
"Q2",,"Choices",2,"Sometimes"
"Q2",,"Choices",3,"Neither"
"Q2",,"Choices",4,"Seldom"
"Q2",,"Choices",5,"None"
"Q3",,"Have you ever conducted any measures to prevent novel coronavirus infections or outbreaks?",,
"Q3",,"Choices",1,"Conducted much measures"
"Q3",,"Choices",2,"Conducted some measures"
"Q3",,"Choices",3,"Did not conducted much measures"
"Q3",,"Choices",4,"Did not conducted any measures"
"Q3",,"Choices",5,"Do not want to answer"
"Q4",,"What was the most important event influencing these actions?",,
"Q4",,"Choices",1,"Infection aboard the Diamond Princess cruise ship (early February)"
